GSM81064 0m	GSM81065 10m	GSM81066 20m	GSM81067 30m	GSM81068 40m	GSM81069 50m	GSM81070 60m	GSM81071 70m	GSM81072 80m	GSM81073 90m	GSM81074 100m	GSM81075 110m	GSM81076 120m	Gene
c	c	c	c	c	c	c	c	c	c	c	c	c	string
 	 	 	 	 	 	 	 	 	 	 	 	 	meta
0.022	0.145	0.221	0.128	-0.003	0.050	0.168	0.051	0.093	0.099	0.108	0.096	nan	YHR099W
0.026	nan	-0.050	0.045	-0.074	-0.058	0.012	-0.028	-0.051	-0.090	-0.091	-0.146	-0.090	YLR321C
0.127	0.050	0.018	-0.052	-0.045	-0.019	0.040	-0.056	-0.080	-0.069	0.007	-0.035	0.002	YOR119C
0.018	0.101	0.090	0.084	0.020	0.232	0.166	0.150	0.093	0.197	0.201	0.062	0.118	YCR044C
0.059	0.064	0.115	0.107	0.074	0.084	0.152	0.064	0.053	0.074	0.071	0.053	0.078	YPL226W
-0.047	-0.009	0.003	0.046	0.022	-0.006	0.159	0.060	0.092	0.051	0.069	0.119	0.069	YPL020C
-0.008	0.321	0.253	0.096	-0.177	-0.144	-0.263	0.155	0.137	0.031	-0.022	-0.213	-0.142	YNL180C
-0.149	-0.076	0.101	0.168	-0.029	0.035	0.015	0.046	0.106	0.026	-0.007	0.065	0.052	YDR081C
-0.003	0.000	0.124	0.102	0.045	0.018	0.088	-0.002	0.013	-0.006	0.002	0.028	-0.006	YBR086C
0.106	0.020	0.009	-0.005	0.063	0.035	0.021	-0.027	0.020	-0.053	0.051	0.002	0.026	YOR297C
0.064	0.010	0.078	0.198	0.177	0.133	0.018	0.043	0.020	0.102	0.042	0.120	0.049	YER027C
0.107	-0.014	-0.053	0.009	0.079	0.115	0.097	0.027	0.093	-0.001	0.027	-0.026	-0.004	YPR159W
0.042	-0.080	0.049	0.044	0.066	0.055	0.036	0.055	0.076	0.007	0.040	-0.028	-0.123	YIL016W
0.312	0.178	-0.027	0.080	-0.003	0.001	0.095	0.048	0.055	-0.031	-0.028	-0.001	0.003	YKL188C
-0.045	-0.064	0.081	0.111	-0.017	-0.017	-0.030	-0.009	0.034	-0.001	0.018	-0.062	-0.013	YNL007C
-0.011	-0.040	0.039	0.103	0.076	0.117	0.128	0.085	0.140	0.131	0.056	0.108	0.080	YGL150C
-0.428	-0.373	-0.521	-0.546	-0.562	-0.317	-0.216	0.195	0.142	-0.078	-0.183	-0.212	-0.197	YGL030W
0.032	0.034	0.043	0.040	0.036	0.005	-0.007	-0.039	-0.028	-0.013	0.011	0.035	0.011	YJL208C
0.015	0.094	0.111	0.021	-0.032	-0.035	0.015	-0.016	0.022	-0.025	-0.043	-0.084	-0.129	YMR232W
-0.005	-0.058	-0.029	0.007	0.020	0.012	-0.032	-0.045	-0.051	-0.127	-0.057	0.025	0.014	YLR371W
0.351	0.431	0.446	0.271	0.107	0.086	-0.110	0.146	0.063	0.024	0.095	0.023	0.163	YPL192C
0.032	0.049	0.146	0.157	0.039	0.081	0.065	0.061	-0.037	0.027	0.070	0.017	0.033	YMR218C
-0.118	0.263	0.135	-0.025	-0.129	-0.053	-0.133	0.019	0.034	-0.077	-0.109	-0.155	-0.143	YKR003W
0.125	0.048	0.051	0.021	0.109	0.087	0.036	0.118	0.106	-0.020	0.060	0.107	0.169	YBR295W
-0.051	-0.023	0.046	-0.008	-0.001	0.005	-0.050	-0.012	-0.007	0.036	0.044	-0.006	-0.009	YER107C
-0.016	-0.334	-0.047	-2.000	0.012	0.165	0.088	0.056	-0.022	-0.035	-0.029	0.119	-0.029	YOL100W
