Drama	Comedy	Adventure	Children	Action	Thriller	Sci-Fi	Fantasy	Animation	Romance	Movie
c	c	c	c	c	c	c	c	c	c	string
 	 	 	 	 	 	 	 	 	 	meta
0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	Ransom (1996)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	To Live (Huozhe) (1994)
1.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	Vertigo (1958)
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Robin Hood: Men in Tights (1993)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Needful Things (1993)
0.000	0.000	1.000	1.000	0.000	0.000	0.000	1.000	1.000	0.000	The Land Before Time (1988)
1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	The Wizard (1989)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	The Queen (2006)
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nutty Professor II: The Klumps (2000)
0.000	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	0.000	PokÌ©mon: The First Movie (1998)
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	The Brothers McMullen (1995)
0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	Naked Gun 33 1/3: The Final Insult (1994)
0.000	0.000	1.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	The Matrix Revolutions (2003)
1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	Lost in Translation (2003)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	On the Waterfront (1954)
0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	Fly Away Home (1996)
1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Philadelphia (1993)
0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	Vertical Limit (2000)
