256	384	258	259	511	512	516	263	523	524	15	529	663	284	159	31	416	544	172	45	Movie	Image
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	string	string
																				m	meta type=image
0.625	0.375	?	?	?	?	?	?	?	?	?	?	?	?	?	1	?	?	?	?	Dawn of the Dead (2004)	images/dawn.jpg
?	0.25	?	0.75	?	?	?	?	?	?	?	?	0.5	0.5	?	?	?	?	?	?	Down with Love (2003)	images/down.jpg
?	?	0.5	?	?	0	?	?	0	?	?	?	?	?	?	?	?	0.125	?	?	Junior (1994)	images/junior.jpg
?	?	?	0.5	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Defending Your Life (1991)	images/defending.jpg
?	0.625	?	?	?	?	0	?	?	?	0.75	?	?	?	?	0	?	?	?	0.75	Plan 9 from Outer Space (1959)	images/plan.jpg
?	?	?	?	0.75	?	?	?	1	?	?	?	?	?	?	0.75	0	?	?	?	The Killer (1989)	images/killer.jpg
?	0.375	?	?	?	?	0.625	?	?	?	?	0.75	0.75	?	?	?	?	?	0.75	?	Munich (2005)	images/munich.jpg
?	?	?	0.5	?	?	?	?	?	?	0.75	?	?	?	?	?	?	?	0.875	?	Laura (1944)	images/laura.jpg
0.625	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Into the Wild (2007)	images/into.jpg
?	0.375	?	?	0.75	?	0.75	0.5	?	?	?	?	0.625	?	0.75	0.25	?	0.75	?	?	The Others (2001)	images/others.jpg
?	0.625	0.75	?	?	0.5	0.5	?	?	0.5	?	?	?	?	0.625	?	?	?	?	?	Mary Shelley's Frankenstein (Frankenstein) (1994)	images/frank.jpg
?	?	0.75	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0.75	The Unbearable Lightness of Being (1988)	images/being.jpg
?	?	?	?	?	0.5	?	?	?	?	?	?	?	0.5	?	?	0.5	?	?	?	Operation Dumbo Drop (1995)	images/drop.jpg
?	?	?	?	?	?	?	?	?	?	?	0.625	?	?	?	?	?	?	?	?	Blades of Glory (2007)	images/blades.jpg
0.5	0.75	?	?	?	?	0.5	?	0.625	?	0.75	?	?	?	0.625	1	?	?	?	0.75	The Fly (1986)	images/fly.jpg
?	0.375	?	?	?	?	0.5	?	?	?	?	?	0.875	0.75	?	?	?	0.125	?	?	Swordfish (2001)	images/swordfish.jpg
?	0.5	?	?	?	?	?	?	?	0	?	?	0.5	?	?	?	?	?	?	?	The Phantom (1996)	images/phantom.jpg
?	?	?	?	1	?	?	0.75	0.625	0.75	1	0.75	?	?	0.875	0.5	?	?	1	1	It's a Wonderful Life (1946)	images/life.jpg
?	0.5	0.5	?	0.5	0.5	0.625	0.625	0.75	0.5	?	?	?	?	?	?	0.75	?	?	0.75	Cinderella (1950)	images/cind.jpg
?	0.25	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Suburbia (1984)	images/sub.jpg
